代碼,英文,中文,屬性,職業,天生星,自動,覆蓋
20805,Frankenstein,,暗,防禦,3,C,
27814,Frederic,,光,攻擊,5,B,
11912,Fria,,火,支援,4,B,
30714,Fridrion,,光,防禦,5,B,
35701,Frieren,,水,攻擊,5,B,
35711,Frieren,,水,攻擊,5,B,
35702,Frieren,,火,攻擊,5,B,
35712,Frieren,,火,攻擊,5,B,
35703,Frieren,,風,攻擊,5,B,
35713,Frieren,,風,攻擊,5,B,
35704,Frieren,,光,攻擊,5,B,
35714,Frieren,,光,攻擊,5,B,
35705,Frieren,,暗,攻擊,5,B,
35715,Frieren,,暗,攻擊,5,B,
19415,Frigate,,暗,支援,4,B,
34301,Frodo,,水,支援,5,B,
34311,Frodo,,水,支援,5,B,
16313,Fuco,,風,體力,4,B,
27114,Fudge,,光,攻擊,4,B,
25113,Fuuki,,風,體力,4,B,
10211,Fynn,,水,攻擊,2,D,
19411,Galleon,,水,體力,4,S,
10613,Gamir,,風,攻擊,2,D,
10633,Gamir,,風,攻擊,2,D,
27111,Ganache,,水,攻擊,4,B,
34401,Gandalf,,水,支援,5,B,
34411,Gandalf,,水,支援,5,A,
34402,Gandalf,,火,支援,5,B,
34412,Gandalf,,火,支援,5,B,
34403,Gandalf,,風,支援,5,B,
34413,Gandalf,,風,支援,5,B,
34404,Gandalf,,光,支援,5,B,
34414,Gandalf,,光,支援,5,B,
34405,Gandalf,,暗,攻擊,5,B,
34415,Gandalf,,暗,攻擊,5,B,
18511,Gangchun,,水,攻擊,3,C,
21113,Ganymede,卡尼魅德,風,支援,5,A,
28915,Gapsoo,甲秀,暗,體力,5,B,
23301,Gargoyle,,水,防禦,4,C,
23302,Gargoyle,,火,防禦,4,C,
23303,Gargoyle,,風,防禦,4,C,
23304,Gargoyle,,光,防禦,4,C,
23305,Gargoyle,,暗,防禦,4,C,
13512,Garo,,火,攻擊,4,B,
14012,Garoche,,火,體力,3,B,
14032,Garoche,,火,體力,3,B,
10215,Garok,,暗,攻擊,2,D,
10901,Garuda,,水,支援,2,S,
10902,Garuda,,火,支援,2,D,
10903,Garuda,,風,支援,2,D,
10905,Garuda,,暗,支援,2,D,
10904,Garuda,,光,支援,3,C,
22614,Geldnir,,光,體力,5,B,
18014,Gemini,,光,攻擊,4,B,
14812,Geoffrey,,火,防禦,3,C,
29211,Geralt,,水,攻擊,5,B,
29212,Geralt,,火,攻擊,5,B,
29213,Geralt,,風,體力,5,B,
29214,Geralt,,光,攻擊,5,B,
29215,Geralt,,暗,體力,5,B,
12701,Ghost,,水,支援,1,D,
12702,Ghost,,火,支援,1,D,
12703,Ghost,,風,支援,1,D,
12705,Ghost,,暗,支援,1,D,
15715,Giana,吉娜,暗,攻擊,5,S,
22401,Giant Warrior,,水,防禦,3,C,
22402,Giant Warrior,,火,防禦,3,C,
22403,Giant Warrior,,風,體力,4,C,
22503,Giant Warrior,,風,體力,4,C,
22404,Giant Warrior,,光,防禦,4,C,
22405,Giant Warrior,,暗,體力,4,C,
22505,Giant Warrior,,暗,體力,4,C,
32311,Gideon,吉迪恩,水,防禦,5,B,
18411,Gildong,,水,攻擊,4,B,
13514,Gin,,光,攻擊,4,B,
15915,Gina,,暗,攻擊,3,C,
15935,Gina,,暗,攻擊,3,B,
26213,GingerBrave,,風,攻擊,5,B,
25013,Giou,祇王,風,支援,5,B,
26915,Giselle,,暗,防禦,5,B,
28101,Gladiatrix,,水,支援,4,C,
28104,Gladiatrix,,光,支援,4,C,
28102,Gladiatrix,,火,攻擊,5,B,
28103,Gladiatrix,,風,攻擊,5,B,
28105,Gladiatrix,,暗,攻擊,5,B,
17814,Glinodon,,光,防禦,3,C,
14213,Gold Angelmon,,風,素材,1,D,
18213,Gold King Angelmon,,風,素材,1,D,
11401,Golem,,水,防禦,3,C,
11402,Golem,,火,防禦,3,C,
11403,Golem,,風,防禦,3,C,
11404,Golem,,光,防禦,3,C,
11405,Golem,,暗,防禦,3,C,
34801,Gollum,,水,攻擊,4,C,
34811,Gollum,,水,攻擊,4,B,
34802,Gollum,,火,攻擊,4,C,
34812,Gollum,,火,攻擊,4,B,
34803,Gollum,,風,攻擊,4,C,
34813,Gollum,,風,攻擊,4,B,
34804,Gollum,,光,攻擊,4,C,
34814,Gollum,,光,攻擊,4,B,
34805,Gollum,,暗,攻擊,4,C,
34815,Gollum,,暗,攻擊,4,B,
10715,Gorgo,,暗,體力,2,D,
10735,Gorgo,,暗,體力,2,D,
19012,Granite,,火,體力,3,C,
16315,Grego,,暗,體力,4,B,
11501,Griffon,,水,體力,3,C,
11502,Griffon,,火,支援,3,A,
11503,Griffon,,風,支援,3,S,
11504,Griffon,,光,防禦,3,C,
11505,Griffon,,暗,防禦,3,C,
16001,Grim Reaper,,水,攻擊,3,A,
16002,Grim Reaper,,火,攻擊,3,A,
16003,Grim Reaper,,風,攻擊,3,C,
16004,Grim Reaper,,光,攻擊,3,C,
16005,Grim Reaper,,暗,攻擊,3,C,
29914,Groa,,光,支援,5,B,
14415,Grogen,,暗,攻擊,5,B,
11414,Groggo,,光,防禦,3,C,
31413,Gronn,,風,體力,4,B,
17714,Grotau,,光,體力,3,C,
13711,Gruda,,水,體力,3,C,
14115,Guillaume,,暗,攻擊,4,B,
18412,Gunpyeong,,火,攻擊,3,C,
24715,Gurkha,,暗,體力,5,B,
31713,Gyomei Himejima,,風,防禦,5,B,
30001,Hacker,,水,支援,5,B,
30002,Hacker,,火,支援,5,A,
30003,Hacker,,風,攻擊,5,B,
30004,Hacker,,光,支援,5,B,
30005,Hacker,,暗,支援,5,S,
23711,Haegang,海岡,水,支援,5,S,
13715,Haken,,暗,體力,3,C,
16314,Halphas,,光,防禦,4,B,
13515,Han,漢,暗,體力,5,B,
19313,Hannah,,風,攻擊,3,C,
18515,Hanra,,暗,攻擊,3,C,
23714,Hanwul,,光,攻擊,5,B,
21001,Harg,,水,支援,3,C,
21002,Harg,,火,支援,3,A,
21005,Harg,,暗,支援,3,C,
21003,Harg,,風,支援,4,C,
21004,Harg,,光,支援,4,C,
21412,Harmonia,,火,支援,4,B,
21401,Harp Magician,,水,支援,4,C,
21402,Harp Magician,,火,支援,4,C,
21403,Harp Magician,,風,支援,4,C,
21404,Harp Magician,,光,支援,5,B,
21405,Harp Magician,,暗,支援,5,S,
12101,Harpu,,水,支援,2,D,
12102,Harpu,,火,支援,2,S,
12103,Harpu,,風,支援,2,D,
12104,Harpu,,光,攻擊,3,C,
12105,Harpu,,暗,攻擊,3,C,
10501,Harpy,,水,攻擊,3,C,
10502,Harpy,,火,攻擊,3,C,
10503,Harpy,,風,攻擊,3,C,
10504,Harpy,,光,攻擊,3,C,
10505,Harpy,,暗,攻擊,3,C,
20513,Hathor,哈索爾,風,支援,5,A,
12815,Havana,,暗,支援,1,D,
30805,Hayato,,暗,攻擊,5,B,
30815,Hayato,,暗,攻擊,5,B,
27913,Hector,,風,攻擊,4,B,
33012,Heihachi Mishima,,火,體力,5,B,
24814,Hekerson,,光,支援,4,B,
21512,Helena,海倫娜,火,體力,5,B,
21612,Helena,,火,體力,5,B,
17901,Hell Lady,,水,攻擊,5,B,
17902,Hell Lady,,火,攻擊,5,B,
17903,Hell Lady,,風,攻擊,5,A,
17904,Hell Lady,,光,攻擊,5,B,
17905,Hell Lady,,暗,支援,5,B,
10515,Hellea,,暗,攻擊,3,C,
10601,Hellhound,,水,攻擊,2,D,
10602,Hellhound,,火,攻擊,2,D,
10603,Hellhound,,風,攻擊,2,D,
10604,Hellhound,,光,攻擊,2,D,
10605,Hellhound,,暗,攻擊,3,C,
16011,Hemos,,水,攻擊,3,A,
16031,Hemos,,水,攻擊,3,A,
29613,Henrik,,風,體力,5,B,
22111,Herne,,水,支援,4,B,
22615,Herteit,,暗,攻擊,5,B,
29813,Hexarina,,風,攻擊,4,B,
27012,Hibiscus,,火,攻擊,4,B,
12001,High Elemental,,水,攻擊,3,C,
12002,High Elemental,,火,攻擊,3,C,
12003,High Elemental,,風,攻擊,3,C,
12004,High Elemental,,光,支援,3,C,
12005,High Elemental,,暗,攻擊,3,C,
29815,Hilda,,暗,攻擊,5,B,
35601,Himmel,,水,攻擊,5,B,
35611,Himmel,,水,攻擊,5,B,
14913,Hina,,風,攻擊,3,C,
20214,Hiro,,光,體力,3,C,
16013,Hiva,,風,攻擊,3,C,
16033,Hiva,,風,攻擊,3,B,
26411,Hollyberry Cookie,,水,防禦,5,B,
26412,Hollyberry Cookie,,火,防禦,5,B,
26413,Hollyberry Cookie,,風,防禦,5,B,
26414,Hollyberry Cookie,,光,防禦,5,B,
26415,Hollyberry Cookie,,暗,防禦,5,B,
1000101,Homunculus(Attack),,水,攻擊,5,A,
1000111,Homunculus(Attack),,水,攻擊,5,A,
1000102,Homunculus(Attack),,火,攻擊,5,A,
1000112,Homunculus(Attack),,火,攻擊,5,A,
1000103,Homunculus(Attack),,風,攻擊,5,A,
1000113,Homunculus(Attack),,風,攻擊,5,A,
1000204,Homunculus(Support),,光,支援,5,A,
1000214,Homunculus(Support),,光,支援,5,A,
1000205,Homunculus(Support),,暗,支援,5,A,
1000215,Homunculus(Support),,暗,支援,5,A,
17312,Hong Hua,,火,體力,4,B,
23912,Hongyeon,,火,支援,4,B,
13001,Horned Frog,,水,體力,1,D,
13002,Horned Frog,,火,體力,1,D,
13003,Horned Frog,,風,體力,1,D,
13005,Horned Frog,,暗,體力,1,D,
20601,Horus,,水,支援,4,C,
20602,Horus,,火,防禦,4,C,
20603,Horus,,風,支援,4,C,
20605,Horus,,暗,支援,4,C,
20604,Horus,,光,防禦,5,B,
13201,Howl,,水,支援,2,D,
13202,Howl,,火,支援,2,D,
13203,Howl,,風,支援,2,D,
13204,Howl,,光,支援,2,D,
13205,Howl,,暗,支援,2,D,
18813,Hraesvelg,,風,攻擊,4,B,
18815,Hrungnir,,暗,攻擊,4,B,
17213,Huan,,風,攻擊,3,C,
14811,Huga,,水,攻擊,2,D,
15512,Hwa,,火,攻擊,4,B,
18414,Hwadam,,光,體力,4,B,
18312,Hwahee,,火,攻擊,4,B,
33212,Hwoarang,,火,攻擊,4,B,
33215,Hwoarang,,暗,攻擊,4,B,
33211,Hwoarang,,水,攻擊,5,B,
33213,Hwoarang,,風,攻擊,5,B,
33214,Hwoarang,花郎,光,攻擊,5,B,
22115,Hyanes,,暗,支援,4,B,
32314,Hyllus,,光,防禦,5,B,
26001,Hypnomeow,,水,體力,4,C,
26002,Hypnomeow,,火,體力,4,C,
26003,Hypnomeow,,風,體力,4,C,
26004,Hypnomeow,,光,體力,4,C,
26005,Hypnomeow,,暗,體力,4,C,
27914,Ian,,光,攻擊,5,B,
11915,Icares,,暗,攻擊,4,B,
11011,Icaru,,水,防禦,3,B,
11031,Icaru,,水,防禦,3,B,
11614,Icasha,,光,支援,4,B,
19201,Ifrit,,水,攻擊,5,S,
19202,Ifrit,,火,體力,5,S,
19203,Ifrit,,風,攻擊,5,A,
19204,Ifrit,,光,攻擊,5,A,
19205,Ifrit,,暗,支援,5,S,
17812,Igmanodon,,火,防禦,3,C,
19512,Ignicus,,火,體力,3,C,
20114,Illianna,,光,支援,4,B,
20613,Imesety,,風,支援,4,B,
10201,Imp,,水,攻擊,2,D,
10202,Imp,,火,攻擊,2,D,
10203,Imp,,風,攻擊,2,D,
10204,Imp,,光,攻擊,2,D,
10205,Imp,,暗,攻擊,2,D,
15801,Imp Champion,,水,攻擊,3,C,
15802,Imp Champion,,火,攻擊,3,C,
15803,Imp Champion,,風,防禦,3,C,
15804,Imp Champion,,光,防禦,3,C,
15805,Imp Champion,,暗,攻擊,3,C,
34123,Imperfect Centaur Knight,,風,攻擊,4,C,
21922,Imperfect Chakram Dancer,,火,攻擊,4,C,
29022,Imperfect Dokkaebi Princess and Sapsaree,,火,支援,4,C,
22123,Imperfect Dryad,,風,支援,4,C,
21422,Imperfect Harp Magician,,火,支援,4,C,
20621,Imperfect Horus,,水,支援,4,C,
13422,Imperfect Joker,,火,防禦,4,C,
17323,Imperfect Kung Fu Girl,,風,攻擊,4,C,
19823,Imperfect Magic Knight,,風,體力,4,C,
20121,Imperfect Neostone Agent,,水,支援,4,C,
11223,Imperfect Nine-tailed Fox,,風,攻擊,4,C,
13521,Imperfect Ninja,,水,攻擊,4,C,
25121,Imperfect Onimusha,,水,攻擊,4,C,
16921,Imperfect Samurai,,水,攻擊,4,C,
13322,Imperfect Succubus,,火,攻擊,4,C,
11822,Imperfect Sylph,,火,攻擊,4,S,
11621,Imperfect Undine,,水,支援,4,A,
14722,Imperfect Vampire,,火,攻擊,4,S,
14723,Imperfect Vampire,,風,攻擊,4,C,
28301,Indra,,水,防禦,5,B,
28302,Indra,,火,攻擊,5,B,
28303,Indra,,風,攻擊,5,B,
28304,Indra,,光,攻擊,5,B,
28305,Indra,,暗,體力,5,B,
11701,Inferno,,水,攻擊,3,C,
11702,Inferno,,火,攻擊,3,C,
11703,Inferno,,風,攻擊,3,C,
11704,Inferno,,光,攻擊,3,C,
11705,Inferno,,暗,攻擊,3,C,
32103,Inosuke Hashibira,,風,攻擊,4,C,
32113,Inosuke Hashibira,,風,攻擊,4,B,
32105,Inosuke Hashibira,,暗,攻擊,4,C,
32115,Inosuke Hashibira,嘴平伊之助,暗,攻擊,4,B,
32101,Inosuke Hashibira,,水,支援,5,B,
32111,Inosuke Hashibira,嘴平伊之助,水,支援,5,B,
32102,Inosuke Hashibira,,火,攻擊,5,B,
32112,Inosuke Hashibira,嘴平伊之助,火,攻擊,5,A,
32104,Inosuke Hashibira,,光,攻擊,5,B,
32114,Inosuke Hashibira,,光,攻擊,5,B,
11001,Inugami,,水,防禦,3,B,
11002,Inugami,,火,攻擊,3,B,
11003,Inugami,,風,防禦,3,C,
11004,Inugami,,光,防禦,3,S,
11005,Inugami,,暗,攻擊,3,S,
15314,Iona,,光,支援,4,B,
19814,Iris,,光,攻擊,4,B,
16512,Iron,,火,防禦,3,C,
16532,Iron,,火,防禦,3,B,
28611,Irène,伊瑞,水,支援,5,A,
19915,Isabelle,,暗,攻擊,4,B,
13315,Isael,,暗,攻擊,4,B,
10112,Iselia,,火,攻擊,3,C,
10132,Iselia,,火,攻擊,3,B,
20915,Isillen,,暗,攻擊,4,B,
20514,Isis,,光,支援,5,B,
20413,Iunu,,風,攻擊,4,B,
13311,Izaria,,水,攻擊,4,B,
14515,Jaara,,暗,攻擊,5,B,
20701,Jack-o'-lantern,,水,攻擊,4,A,
20702,Jack-o'-lantern,,火,攻擊,4,C,
20703,Jack-o'-lantern,,風,支援,4,C,
20704,Jack-o'-lantern,,光,攻擊,4,B,
20705,Jack-o'-lantern,,暗,攻擊,4,C,
20215,Jackie,,暗,防禦,3,C,
25315,Jackson,,暗,支援,5,B,
26913,Jade,潔德,風,防禦,5,B,
29115,Jaduel and Aepiah,賈德爾與阿皮亞,暗,支援,5,B,
16614,Jager,耶格,光,體力,5,S,
15615,Jamie,,暗,攻擊,3,C,
14413,Jamire,,風,支援,5,A,
14815,Janssen,,暗,體力,3,C,
14814,Jansson,,光,防禦,2,D,
24813,Jarrett,,風,攻擊,4,B,
27014,Jasmine,,光,攻擊,4,B,
14112,Jean,,火,攻擊,4,B,
21814,Jeanne,,光,體力,5,B,
23712,Jeogun,赤雲,火,支援,5,A,
28911,Jeongnam,正南,水,體力,5,B,
28614,Jessica,,光,防禦,5,B,
33111,Jin Kazama,,水,攻擊,4,B,
33114,Jin Kazama,,光,支援,4,B,
33112,Jin Kazama,風間 仁,火,體力,5,B,
33113,Jin Kazama,,風,攻擊,5,B,
33115,Jin Kazama,,暗,攻擊,5,B,
29811,Johanna,,水,攻擊,5,B,
25312,John,,火,攻擊,5,B,
13412,Jojo,,火,防禦,4,B,
13401,Joker,,水,攻擊,4,C,
13402,Joker,,火,防禦,4,C,
13403,Joker,,風,攻擊,4,S,
13404,Joker,,光,體力,4,B,
13405,Joker,,暗,攻擊,4,C,
21811,Josephine,喬瑟芬,水,體力,5,S,
15215,Jubelle,,暗,防禦,3,C,
15235,Jubelle,,暗,防禦,3,B,
14714,Julianne,朱麗安,光,攻擊,5,B,
13911,Julie,,水,攻擊,4,B,
14113,Julien,,風,攻擊,4,B,
14015,Jultan,,暗,體力,3,B,
14035,Jultan,,暗,體力,3,B,
12015,Jumaline,,暗,攻擊,3,C,
12035,Jumaline,,暗,攻擊,3,B,
16912,Jun,,火,攻擊,4,B,
15712,Juno,朱諾,火,支援,5,S,
34201,Justice,,水,支援,5,B,
34202,Justice,,火,支援,5,B,
34203,Justice,,風,攻擊,5,B,
34204,Justice,,光,支援,5,B,
34205,Justice,,暗,攻擊,5,B,
30011,K1D,,水,支援,5,B,
10514,Kabilla,,光,攻擊,3,C,
10311,Kacey,,水,支援,2,D,
10331,Kacey,,水,支援,2,D,
12012,Kahli,,火,攻擊,3,C,
12032,Kahli,,火,攻擊,3,B,
11511,Kahn,,水,體力,3,B,
11531,Kahn,,水,體力,3,B,
33601,Kai,,水,攻擊,4,C,
33611,Kai,,水,攻擊,4,B,
33604,Kai,,光,支援,4,C,
33614,Kai,,光,支援,4,B,
33602,Kai,,火,體力,5,B,
33612,Kai,,火,體力,5,B,
33603,Kai,,風,攻擊,5,B,
33613,Kai,,風,攻擊,5,B,
33605,Kai,,暗,攻擊,5,B,
33615,Kai,,暗,攻擊,5,B,
15212,Kai'en,,火,防禦,3,C,
15232,Kai'en,,火,防禦,3,B,
11111,Kaimann,,水,防禦,2,D,
16913,Kaito,,風,攻擊,4,B,
25112,Kaki,,火,攻擊,4,B,
28111,Kalantatze,,水,支援,4,B,
17715,Kamatau,,暗,體力,3,C,
11215,Kamiya,,暗,攻擊,4,B,
20315,Karakum,,暗,體力,3,C,
20015,Karl,,暗,攻擊,4,B,
24712,Karnal,卡納利,火,體力,5,B,
29112,Karuel and Lanoah,卡雷爾與拉諾亞,火,支援,5,B,
24513,Kashmir,,風,攻擊,5,B,
27611,Kassandra,,水,支援,4,B,
27614,Kassandra,,光,支援,4,B,
27612,Kassandra,卡珊卓,火,攻擊,5,A,
27613,Kassandra,,風,攻擊,5,B,
27615,Kassandra,卡珊卓,暗,攻擊,5,A,
13813,Katarina,,風,攻擊,5,A,
16911,Kaz,,水,攻擊,4,B,
24112,KEN,,火,攻擊,5,B,
17811,Kernodon,,水,防禦,3,C,
20412,Khmun,,火,支援,4,B,
28115,Kiara,,暗,攻擊,5,B,
25215,Kiki,,暗,支援,5,B,
18201,King Angelmon,,水,素材,1,D,
18202,King Angelmon,,火,素材,1,D,
18203,King Angelmon,,風,素材,1,D,
18204,King Angelmon,,光,素材,1,D,
18205,King Angelmon,,暗,素材,1,D,
25114,Kinki,,光,體力,4,B,
18101,Kobold Bomber,,水,攻擊,4,C,
18102,Kobold Bomber,,火,攻擊,4,C,
18103,Kobold Bomber,,風,攻擊,4,C,
18104,Kobold Bomber,,光,攻擊,4,C,
18105,Kobold Bomber,,暗,攻擊,4,C,
10911,Konamiya,,水,支援,2,S,
18015,Korona,,暗,支援,4,B,
27214,Kovarci,克巴洛西,光,支援,5,A,
11112,Krakdon,,火,防禦,3,C,
11015,Kro,,暗,攻擊,3,S,
11035,Kro,,暗,攻擊,3,S,
21015,Kroa,,暗,支援,3,B,
11412,Kugo,,火,防禦,3,C,
11411,Kuhn,,水,防禦,3,C,
10415,Kumae,,暗,體力,3,C,
17412,Kumar,,火,體力,5,B,
18715,Kuna,,暗,體力,3,C,
10411,Kunda,,水,防禦,2,D,
17301,Kung Fu Girl,,水,攻擊,4,C,
17302,Kung Fu Girl,,火,體力,4,C,
17303,Kung Fu Girl,,風,攻擊,4,C,
17304,Kung Fu Girl,,光,體力,4,C,
17305,Kung Fu Girl,,暗,攻擊,4,C,
13712,Kungen,,火,體力,3,B,
23312,Kunite,,火,防禦,4,B,
24811,Kyle,,水,攻擊,4,B,
14613,Lagmaron,,風,攻擊,5,B,
16612,Laika,萊卡,火,攻擊,5,S,
15714,Laima,萊瑪,光,支援,5,S,
13212,Lala,,火,支援,2,D,
13232,Lala and Friends,,火,支援,2,D,
31311,Lamiella,拉米埃拉,水,支援,5,A,
12812,Lamor,,火,支援,1,D,
19815,Lanett,,暗,防禦,4,B,
19811,Lapis,,水,攻擊,4,B,
24911,Lariel,,水,攻擊,4,B,
29614,Lars,,光,攻擊,5,B,
27015,Lavender,,暗,攻擊,4,B,
28613,Layla,莱拉,風,支援,5,S,
24914,Leah,,光,攻擊,4,B,
34701,Legolas,,水,攻擊,4,C,
34711,Legolas,,水,攻擊,4,B,
34705,Legolas,,暗,攻擊,4,C,
34715,Legolas,,暗,攻擊,4,B,
34702,Legolas,,火,攻擊,5,B,
34712,Legolas,,火,攻擊,5,B,
34703,Legolas,,風,攻擊,5,B,
34713,Legolas,,風,攻擊,5,B,
34704,Legolas,,光,攻擊,5,B,
34714,Legolas,,光,攻擊,5,B,
16613,Leo,雷奧,風,支援,5,S,
21815,Leona,,暗,防禦,5,B,
19912,Lexy,,火,攻擊,4,B,
25711,Liam,,水,攻擊,5,B,
16301,Lich,,水,支援,4,C,
16302,Lich,,火,攻擊,4,C,
16303,Lich,,風,體力,4,C,
16304,Lich,,光,防禦,4,C,
16305,Lich,,暗,體力,4,C,
13415,Liebli,,暗,攻擊,4,B,
14711,Liesel,,水,體力,4,B,
22601,Lightning Emperor,,水,體力,5,A,
22602,Lightning Emperor,,火,攻擊,5,B,
22603,Lightning Emperor,,風,攻擊,5,B,
22604,Lightning Emperor,,光,體力,5,B,
22605,Lightning Emperor,,暗,攻擊,5,B,
28615,Liliana,,暗,攻擊,5,B,
15914,Linda,,光,攻擊,3,C,
15934,Linda,,光,攻擊,3,B,
10913,Lindermen,,風,支援,2,D,
17313,Ling Ling,,風,攻擊,4,B,
27911,Lionel,,水,攻擊,5,B,
20112,Lisa,,火,支援,4,B,
17314,Liu Mei,,光,體力,4,B,
16501,Living Armor,,水,防禦,3,C,
16502,Living Armor,,火,防禦,3,C,
16503,Living Armor,,風,防禦,3,C,
16504,Living Armor,,光,防禦,3,C,
16505,Living Armor,,暗,防禦,3,C,
17801,Lizardman,,水,防禦,3,C,
17802,Lizardman,,火,防禦,3,C,
17803,Lizardman,,風,防禦,3,C,
17804,Lizardman,,光,防禦,3,C,
17805,Lizardman,,暗,防禦,3,C,
20213,Lo,,風,攻擊,3,B,
35401,Lob Ear,,水,攻擊,4,C,
35411,Lob Ear,,水,攻擊,4,B,
35402,Lob Ear,,火,攻擊,4,C,
35412,Lob Ear,,火,攻擊,4,B,
35403,Lob Ear,,風,攻擊,4,C,
35413,Lob Ear,,風,攻擊,4,B,
35404,Lob Ear,,光,攻擊,4,C,
35414,Lob Ear,,光,攻擊,4,B,
35405,Lob Ear,,暗,攻擊,4,C,
35415,Lob Ear,,暗,攻擊,4,B,
20013,Logan,,風,攻擊,4,B,
26703,Lollipop Warrior,,風,攻擊,5,B,
15815,Loque,,暗,攻擊,3,C,
16114,Lora,羅拉,光,體力,5,A,
28705,Lord of Hell,,暗,攻擊,5,B,
28715,Lord of Hell,,暗,攻擊,5,B,
19314,Loren,,光,攻擊,3,S,
30111,Lorenza,,水,攻擊,4,B,
14114,Louis,,光,支援,4,B,
21813,Louise,,風,支援,5,B,
12801,Low Elemental,,水,支援,1,D,
12802,Low Elemental,,火,支援,1,D,
12803,Low Elemental,,風,支援,1,D,
12804,Low Elemental,,光,支援,1,D,
12805,Low Elemental,,暗,支援,1,D,
20211,Luan,,水,防禦,3,C,
20014,Lucas,,光,攻擊,4,B,
10512,Lucasha,,火,攻擊,3,C,
26812,Lucia,露奇亞,火,支援,5,A,
20914,Lucien,,光,攻擊,3,C,
23114,Lucifer,路西法,光,體力,5,B,
21312,Ludo,,火,攻擊,4,B,
14111,Luer,,水,支援,4,B,
11113,Lukan,,風,防禦,2,D,
13211,Lulu,,水,支援,2,D,
13231,Lulu and Friends,,水,支援,2,D,
29911,Lumina,,水,支援,4,B,
11911,Lumirecia,,水,支援,4,B,
13915,Luna,,暗,攻擊,4,B,
19813,Lupinus,,風,體力,4,B,
10714,Lusha,,光,體力,3,C,
10734,Lusha,,光,體力,3,B,
13413,Lushen,,風,攻擊,4,S,
18915,Lydia,,暗,攻擊,5,B,
14914,Lyn,,光,攻擊,3,B,
24211,M. BISON,,水,體力,5,B,
24212,M. BISON,,火,體力,5,B,
24213,M. BISON,,風,體力,5,B,
24214,M. BISON,,光,體力,5,B,
24215,M. BISON,,暗,體力,5,B,
26901,Macaron Guard,,水,防禦,5,B,
26902,Macaron Guard,,火,防禦,5,B,
26903,Macaron Guard,,風,防禦,5,B,
26904,Macaron Guard,,光,防禦,5,B,
26905,Macaron Guard,,暗,防禦,5,B,
25814,Madeleine,,光,支援,4,B,
26611,Madeleine Cookie,,水,攻擊,4,B,
26612,Madeleine Cookie,,火,攻擊,4,B,
26613,Madeleine Cookie,,風,體力,4,B,
26614,Madeleine Cookie,,光,攻擊,4,B,
26615,Madeleine Cookie,,暗,體力,4,B,
25201,Mage,,水,支援,5,B,
25202,Mage,,火,攻擊,5,B,
25203,Mage,,風,攻擊,5,B,
25204,Mage,,光,攻擊,5,B,
25205,Mage,,暗,支援,5,B,
11415,Maggi,,暗,防禦,3,C,
19801,Magic Knight,,水,攻擊,4,C,
19802,Magic Knight,,火,攻擊,4,B,
19803,Magic Knight,,風,體力,4,C,
19804,Magic Knight,,光,攻擊,4,C,
19805,Magic Knight,,暗,防禦,4,C,
29901,Magic Order Elementalist,,水,支援,4,C,
29903,Magic Order Elementalist,,風,支援,4,C,
29902,Magic Order Elementalist,,火,攻擊,5,B,
29904,Magic Order Elementalist,,光,支援,5,B,
29905,Magic Order Elementalist,,暗,攻擊,5,B,
29803,Magic Order Enchantress,,風,攻擊,4,C,
29804,Magic Order Enchantress,,光,支援,4,C,
29801,Magic Order Enchantress,,水,攻擊,5,B,
29802,Magic Order Enchantress,,火,支援,5,B,
29805,Magic Order Enchantress,,暗,攻擊,5,B,
29601,Magic Order Guardian,,水,攻擊,5,B,
29602,Magic Order Guardian,,火,攻擊,5,B,
29603,Magic Order Guardian,,風,體力,5,B,
29604,Magic Order Guardian,,光,攻擊,5,B,
29605,Magic Order Guardian,,暗,體力,5,B,
29702,Magic Order Swordsinger,,火,攻擊,4,C,
29705,Magic Order Swordsinger,,暗,攻擊,4,C,
29701,Magic Order Swordsinger,,水,攻擊,5,B,
29703,Magic Order Swordsinger,,風,攻擊,5,B,
29704,Magic Order Swordsinger,,光,攻擊,5,B,
15401,Magical Archer,,水,攻擊,3,C,
15402,Magical Archer,,火,攻擊,3,C,
15403,Magical Archer,,風,攻擊,3,C,
15404,Magical Archer,,光,攻擊,4,C,
15405,Magical Archer,,暗,攻擊,4,C,
22714,Magnum,,光,攻擊,4,B,
29612,Magnus,,火,攻擊,5,B,
18111,Malaka,,水,攻擊,4,B,
23313,Malite,,風,防禦,4,C,
19715,Manannan,,暗,攻擊,5,B,
12501,Maned Boar,,水,體力,2,D,
12502,Maned Boar,,火,體力,2,D,
12503,Maned Boar,,風,體力,2,D,
26911,Manon,,水,防禦,5,B,
11315,Mantura,,暗,體力,3,C,
26012,Manx,,火,體力,4,B,
17211,Mao,,水,攻擊,3,C,
14915,Mara,,暗,攻擊,3,C,
19014,Marble,,光,體力,3,C,
20201,Martial Artist,,水,防禦,3,C,
20202,Martial Artist,,火,防禦,3,C,
20203,Martial Artist,,風,攻擊,3,C,
20204,Martial Artist,,光,體力,3,C,
20205,Martial Artist,,暗,防禦,3,C,
15001,Martial Cat,,水,攻擊,3,C,
15002,Martial Cat,,火,體力,3,C,
15003,Martial Cat,,風,攻擊,3,C,
15004,Martial Cat,,光,體力,3,C,
15005,Martial Cat,,暗,攻擊,3,C,
22015,Martina,,暗,攻擊,4,B,
